ABE, Lehigh Valley International Airport, Allentown, Pennsylvania
FLG, Flagstaff Pulliam Airport, Flagstaff, Arizona
FLL, Fort Lauderdale-Hollywood International Airport, Fort Lauderdale, Florida
FLO, Florence Regional Airport, Florence, South Carolina
FMN, Four Corners Regional Airport, Farmington, New Mexico
FNT, Bishop International Airport, Flint, Michigan
FSD, Sioux Falls Regional Airport, Sioux Falls, South Dakota
FSM, Fort Smith Regional Airport, Fort Smith, Arkansas
FWA, Fort Wayne International Airport, Fort Wayne, Indiana
GEG, Spokane International Airport, Spokane, Washington
GFK, Grand Forks International Airport, Grand Forks, North Dakota
GGG, East Texas Regional Airport, Longview, Texas
GJT, Grand Junction Regional Airport, Grand Junction, Colorado
GNV, Gainesville Regional Airport, Gainesville, Florida
GPT, Gulfport-Biloxi International Airport, Gulfport/Biloxi, Mississippi
GRB, Green Bay-Austin Straubel International Airport, Green Bay, Wisconsin
GRI, Central Nebraska Regional Airport, Grand Island, Nebraska
GRK, Killeen-Fort Hood Regional Airport, Killeen, Texas
GRR, Gerald R. Ford International Airport, Grand Rapids, Michigan
GSO, Piedmont Triad International Airport, Greensboro/High Point, North Carolina
GSP, Greenville-Spartanburg International Airport, Greenville/Spartanburg, South Carolina
GST, Gustavus Airport, Gustavus, Alaska
GTF, Great Falls International Airport, Great Falls, Montana
GTR, Golden Triangle Regional Airport, Columbus, Mississippi
GUC, Gunnison-Crested Butte Regional Airport, Gunnison, Colorado
GUM, Antonio B. Won Pat International Airport, Hagåtña, Guam
HDN, Yampa Valley Airport, Hayden/Steamboat Springs, Colorado
HIB, Range Regional Airport, Hibbing, Minnesota
HLN, Helena Regional Airport, Helena, Montana
HNL, Daniel K. Inouye International Airport, Honolulu, Hawaii
HOB, Lea County Regional Airport, Hobbs, New Mexico
HOU, William P. Hobby Airport, Houston, Texas
HPN, Westchester County Airport, White Plains, New York
HRL, Valley International Airport, Harlingen, Texas
HSV, Huntsville International Airport, Huntsville, Alabama
HTS, Tri-State Airport, Huntington, West Virginia
HVN, Tweed New Haven Airport, New Haven, Connecticut
HYA, Barnstable Municipal Airport, Hyannis, Massachusetts
HYS, Hays Regional Airport, Hays, Kansas
IAD, Washington Dulles International Airport, Washington, D.C., Virginia
IAH, George Bush Intercontinental Airport, Houston, Texas
ICT, Wichita Dwight D. Eisenhower National Airport, Wichita, Kansas
IDA, Idaho Falls Regional Airport, Idaho Falls, Idaho
ILG, New Castle Airport, Wilmington, Delaware
ILM, Wilmington International Airport, Wilmington, North Carolina
IMT, Ford Airport, Iron Mountain/Kingsford, Michigan
IND, Indianapolis International Airport, Indianapolis, Indiana
INL, Falls International Airport, International Falls, Minnesota
ISO, Kinston Regional Jetport at Stallings Field, Kinston, North Carolina
ISP, Long Island MacArthur Airport, Islip, New York
ITH, Ithaca Tompkins Regional Airport, Ithaca/Cortland, New York
ITO, Hilo International Airport, Hilo, Hawaii
JAC, Jackson Hole Airport, Jackson, Wyoming
JAN, Jackson-Medgar Wiley Evers International Airport, Jackson, Mississippi
JAX, Jacksonville International Airport, Jacksonville, Florida
JFK, John F. Kennedy International Airport, New York City, New York
JLN, Joplin Regional Airport, Joplin, Missouri
JMS, Jamestown Regional Airport, Jamestown, North Dakota
JNU, Juneau International Airport, Juneau, Alaska
KOA, Ellison Onizuka Kona International Airport at Keāhole, Kailua-Kona, Hawaii
KTN, Ketchikan International Airport, Ketchikan, Alaska
LAN, Capital Region International Airport, Lansing, Michigan
LAS, McCarran International Airport, Las Vegas, Nevada
LAW, Lawton-Fort Sill Regional Airport, Lawton, Oklahoma
LAX, Los Angeles International Airport, Los Angeles, California
LBB, Lubbock Preston Smith International Airport, Lubbock, Texas
LBE, Arnold Palmer Regional Airport, Latrobe, Pennsylvania
LBF, North Platte Regional Airport, North Platte, Nebraska
LBL, Liberal Mid-America Regional Airport, Liberal, Kansas
LCH, Lake Charles Regional Airport, Lake Charles, Louisiana
LCK, Rickenbacker International Airport, Columbus, Ohio
LEB, Lebanon Municipal Airport, Lebanon, New Hampshire
LEX, Blue Grass Airport, Lexington, Kentucky
LFT, Lafayette Regional Airport, Lafayette, Louisiana
LGA, LaGuardia Airport, New York City, New York
LGB, Long Beach Airport, Long Beach, California
LIH, Lihue Airport, Lihue, Hawaii
LIT, Bill and Hillary Clinton National Airport/Adams Field, Little Rock, Arkansas
LNK, Lincoln Airport, Lincoln, Nebraska
LNS, Lancaster Airport, Lancaster, Pennsylvania
LRD, Laredo International Airport, Laredo, Texas
LSE, La Crosse Regional Airport, La Crosse, Wisconsin
LWS, Lewiston-Nez Perce County Airport, Lewiston, Idaho
LYH, Lynchburg Regional Airport, Lynchburg, Virginia
MAF, Midland International Air and Space Port, Midland/Odessa, Texas
MBS, MBS International Airport, Saginaw/Bay City/Midland, Michigan
MCI, Kansas City International Airport, Kansas City, Missouri
MCN, Middle Georgia Regional Airport, Macon, Georgia
MCO, Orlando International Airport, Orlando, Florida
MDT, Harrisburg International Airport, Harrisburg, Pennsylvania
MDW, Chicago Midway International Airport, Chicago, Illinois
MEI, Key Field Airport, Meridian, Mississippi
MEM, Memphis International Airport, Memphis, Tennessee
MFE, McAllen-Miller International Airport, McAllen, Texas
MFR, Rogue Valley International-Medford Airport, Medford, Oregon
MGM, Montgomery Regional Airport, Montgomery, Alabama
MHK, Manhattan Regional Airport, Manhattan, Kansas
MHT, Manchester-Boston Regional Airport, Manchester, New Hampshire
MIA, Miami International Airport, Miami, Florida
MKE, General Mitchell International Airport, Milwaukee, Wisconsin
MKG, Muskegon County Airport, Muskegon, Michigan
MLB, Melbourne International Airport, Melbourne, Florida
MLI, Quad City International Airport, Moline, Illinois
MLU, Monroe Regional Airport, Monroe, Louisiana
MMH, Mammoth Yosemite Airport, Mammoth Lakes, California
MOB, Mobile Regional Airport, Mobile, Alabama
MOT, Minot International Airport, Minot, North Dakota
MQT, Sawyer International Airport, Marquette, Michigan
MRY, Monterey Regional Airport, Monterey, California
MSN, Dane County Regional Airport, Madison, Wisconsin
MSO, Missoula International Airport, Missoula, Montana
MSP, Minneapolis-Saint Paul International Airport, Minneapolis/St. Paul, Minnesota
MSY, Louis Armstrong New Orleans International Airport, New Orleans, Louisiana
MTJ, Montrose Regional Airport, Montrose/Delta, Colorado
MYR, Myrtle Beach International Airport, Myrtle Beach, South Carolina
OAJ, Albert J. Ellis Airport, Jacksonville, North Carolina
OAK, Oakland International Airport, Oakland, California
OGG, Kahului Airport, Kahului, Hawaii
OGS, Ogdensburg International Airport, Ogdensburg, New York
OKC, Will Rogers World Airport, Oklahoma City, Oklahoma
OMA, Eppley Airfield, Omaha, Nebraska
OME, Nome Airport, Nome, Alaska
ONT, Ontario International Airport, Ontario, California
ORD, O'Hare International Airport, Chicago, Illinois
ORF, Norfolk International Airport, Norfolk, Virginia
ORH, Worcester Regional Airport, Worcester, Massachusetts
OTH, Southwest Oregon Regional Airport, North Bend/Coos Bay, Oregon
OTZ, Ralph Wien Memorial Airport, Kotzebue, Alaska
OXR, Oxnard Airport, Oxnard, California
PBG, Plattsburgh International Airport, Plattsburgh, New York
PBI, Palm Beach International Airport, West Palm Beach, Florida
PDX, Portland International Airport, Portland, Oregon
PFN, Northwest Florida Beaches International Airport, Panama City Beach, Florida
PGD, Punta Gorda Airport, Punta Gorda, Florida
PGV, Pitt-Greenville Airport, Greenville, North Carolina
PHF, Newport News/Williamsburg International Airport, Newport News, Virginia
PHL, Philadelphia International Airport, Philadelphia, Pennsylvania
PHX, Phoenix Sky Harbor International Airport, Phoenix, Arizona
PIA, General Wayne A. Downing Peoria International Airport, Peoria, Illinois
PIB, Hattiesburg-Laurel Regional Airport, Hattiesburg/Laurel, Mississippi
PIE, St. Pete-Clearwater International Airport, Clearwater, Florida
PIH, Pocatello Regional Airport, Pocatello, Idaho
PIR, Pierre Regional Airport, Pierre, South Dakota
PIT, Pittsburgh International Airport, Pittsburgh, Pennsylvania
PLN, Pellston Regional Airport, Pellston, Michigan
PNS, Pensacola International Airport, Pensacola, Florida
